time,survival,arm
0.014257,1.0,treatment
0.016293,1.0,treatment
0.01833,1.0,treatment
0.020367,1.0,treatment
0.046843,1.0,treatment
0.04888,1.0,treatment
0.050916,1.0,treatment
0.052953,1.0,treatment
0.05499,0.992974,treatment
0.057026,0.992974,treatment
0.059063,0.992974,treatment
0.0611,0.992974,treatment
0.063136,0.992974,treatment
0.065173,0.992974,treatment
0.06721,0.992974,treatment
0.069246,0.992974,treatment
0.071283,0.941452,treatment
0.07332,0.941452,treatment
0.075356,0.941452,treatment
0.077393,0.941452,treatment
0.07943,0.941452,treatment
0.081466,0.95082,treatment
0.083503,0.95082,treatment
0.08554,0.95082,treatment
0.087576,1.0,treatment
0.089613,1.0,treatment
0.09165,1.0,treatment
0.093686,0.941452,treatment
0.095723,0.948478,treatment
0.09776,0.95082,treatment
0.099796,0.95082,treatment
0.101833,0.95082,treatment
0.10387,0.946136,treatment
0.105906,0.936768,treatment
0.107943,0.934426,treatment
0.10998,0.934426,treatment
0.112016,0.936768,treatment
0.114053,0.934426,treatment
0.11609,0.932084,treatment
0.118126,0.932084,treatment
0.120163,0.93911,treatment
0.1222,0.936768,treatment
0.124236,1.0,treatment
0.126273,1.0,treatment
0.12831,0.981265,treatment
0.130346,0.873536,treatment
0.132383,0.857143,treatment
0.13442,0.857143,treatment
0.136456,0.850117,treatment
0.138493,0.847775,treatment
0.14053,0.845433,treatment
0.142566,0.838407,treatment
0.144603,0.836066,treatment
0.14664,0.833724,treatment
0.148676,0.822014,treatment
0.150713,0.822014,treatment
0.152749,0.819672,treatment
0.154786,0.819672,treatment
0.156823,0.814988,treatment
0.158859,0.810304,treatment
0.160896,0.810304,treatment
0.162933,0.810304,treatment
0.164969,0.798595,treatment
0.167006,0.796253,treatment
0.169043,0.796253,treatment
0.171079,0.796253,treatment
0.173116,0.786885,treatment
0.175153,0.779859,treatment
0.177189,0.779859,treatment
0.179226,0.798595,treatment
0.181263,0.920375,treatment
0.183299,0.934426,treatment
0.185336,0.997658,treatment
0.187373,0.87822,treatment
0.189409,0.875878,treatment
0.191446,0.87822,treatment
0.193483,0.87822,treatment
0.195519,0.87822,treatment
0.197556,0.866511,treatment
0.199593,0.866511,treatment
0.201629,0.857143,treatment
0.203666,0.857143,treatment
0.205703,0.857143,treatment
0.207739,0.857143,treatment
0.209776,0.857143,treatment
0.211813,0.857143,treatment
0.213849,0.857143,treatment
0.215886,0.857143,treatment
0.217923,0.857143,treatment
0.219959,0.857143,treatment
0.221996,0.866511,treatment
0.224033,0.875878,treatment
0.226069,0.875878,treatment
0.228106,0.875878,treatment
0.230143,0.875878,treatment
0.232179,0.875878,treatment
0.234216,0.901639,treatment
0.236253,0.899297,treatment
0.238289,0.899297,treatment
0.240326,0.896956,treatment
0.242363,0.894614,treatment
0.244399,0.894614,treatment
0.246436,0.894614,treatment
0.248473,0.894614,treatment
0.250509,0.894614,treatment
0.252546,0.892272,treatment
0.254582,0.88993,treatment
0.256619,0.88993,treatment
0.258656,0.887588,treatment
0.260692,0.887588,treatment
0.262729,0.887588,treatment
0.264766,0.887588,treatment
0.266802,0.882904,treatment
0.268839,0.882904,treatment
0.270876,0.882904,treatment
0.272912,0.885246,treatment
0.274949,0.885246,treatment
0.276986,0.882904,treatment
0.279022,0.882904,treatment
0.281059,0.882904,treatment
0.283096,0.882904,treatment
0.285132,0.880562,treatment
0.287169,0.880562,treatment
0.289206,0.87822,treatment
0.291242,0.875878,treatment
0.293279,0.875878,treatment
0.295316,0.873536,treatment
0.297352,0.873536,treatment
0.299389,0.873536,treatment
0.301426,0.873536,treatment
0.303462,0.873536,treatment
0.305499,0.873536,treatment
0.307536,0.873536,treatment
0.309572,0.873536,treatment
0.311609,0.871194,treatment
0.313646,0.871194,treatment
0.315682,0.871194,treatment
0.317719,0.871194,treatment
0.319756,0.871194,treatment
0.321792,0.873536,treatment
0.323829,0.871194,treatment
0.325866,0.868852,treatment
0.327902,0.868852,treatment
0.329939,0.868852,treatment
0.331976,0.868852,treatment
0.334012,0.868852,treatment
0.336049,0.868852,treatment
0.338086,0.871194,treatment
0.340122,0.871194,treatment
0.342159,0.871194,treatment
0.344196,0.871194,treatment
0.346232,0.871194,treatment
0.348269,0.859485,treatment
0.350305,0.859485,treatment
0.352342,0.859485,treatment
0.354379,0.859485,treatment
0.356415,0.859485,treatment
0.358452,0.859485,treatment
0.360489,0.861827,treatment
0.362525,0.868852,treatment
0.364562,0.873536,treatment
0.366599,0.868852,treatment
0.368635,0.868852,treatment
0.370672,0.868852,treatment
0.372709,0.868852,treatment
0.374745,0.868852,treatment
0.376782,0.868852,treatment
0.378819,0.868852,treatment
0.380855,0.864169,treatment
0.382892,0.864169,treatment
0.384929,0.864169,treatment
0.386965,0.868852,treatment
0.389002,0.868852,treatment
0.391039,0.857143,treatment
0.393075,0.852459,treatment
0.395112,0.840749,treatment
0.397149,0.822014,treatment
0.399185,0.819672,treatment
0.401222,0.810304,treatment
0.403259,0.784543,treatment
0.405295,0.777518,treatment
0.407332,0.777518,treatment
0.409369,0.777518,treatment
0.411405,0.779859,treatment
0.413442,0.786885,treatment
0.415479,0.798595,treatment
0.417515,0.800937,treatment
0.419552,0.798595,treatment
0.421589,0.803279,treatment
0.423625,0.803279,treatment
0.425662,0.810304,treatment
0.427699,0.805621,treatment
0.429735,0.800937,treatment
0.431772,0.798595,treatment
0.433809,0.798595,treatment
0.435845,0.786885,treatment
0.437882,0.791569,treatment
0.439919,0.786885,treatment
0.441955,0.786885,treatment
0.443992,0.786885,treatment
0.446029,0.791569,treatment
0.448065,0.789227,treatment
0.450102,0.789227,treatment
0.452138,0.793911,treatment
0.454175,0.775176,treatment
0.456212,0.57377,treatment
0.458248,0.566745,treatment
0.460285,0.564403,treatment
0.462322,0.564403,treatment
0.464358,0.559719,treatment
0.466395,0.772834,treatment
0.468432,0.772834,treatment
0.470468,0.76815,treatment
0.472505,0.761124,treatment
0.474542,0.751756,treatment
0.476578,0.608899,treatment
0.478615,0.466042,treatment
0.480652,0.578454,treatment
0.482688,0.459016,treatment
0.484725,0.470726,treatment
0.486762,0.461358,treatment
0.488798,0.58548,treatment
0.490835,0.583138,treatment
0.492872,0.583138,treatment
0.494908,0.578454,treatment
0.496945,0.580796,treatment
0.498982,0.580796,treatment
0.501018,0.583138,treatment
0.503055,0.58548,treatment
0.505092,0.590164,treatment
0.507128,0.592506,treatment
0.509165,0.594848,treatment
0.511202,0.59719,treatment
0.513238,0.592506,treatment
0.515275,0.592506,treatment
0.517312,0.594848,treatment
0.519348,0.59719,treatment
0.521385,0.59719,treatment
0.523422,0.601874,treatment
0.525458,0.601874,treatment
0.527495,0.59719,treatment
0.529532,0.599532,treatment
0.531568,0.599532,treatment
0.533605,0.601874,treatment
0.535642,0.601874,treatment
0.537678,0.604215,treatment
0.539715,0.604215,treatment
0.541752,0.604215,treatment
0.543788,0.608899,treatment
0.545825,0.606557,treatment
0.547862,0.604215,treatment
0.549898,0.601874,treatment
0.551935,0.604215,treatment
0.553971,0.601874,treatment
0.556008,0.604215,treatment
